"x.dashed","y.dashed.lb","y.dashed.ub","x.solid","y.solid.lb","y.solid.ub"
0.72,0,100,0.72,9.82142857142857,99.1071428571429
0.73,0,100,0.73,5.35714285714286,99.1071428571429
0.74,0,100,0.74,6.25,99.1071428571429
0.75,0,100,0.75,4.46428571428571,99.1071428571429
0.76,0,100,0.76,2.67857142857143,99.1071428571429
0.77,0,100,0.77,1.78571428571429,99.1071428571429
0.78,0,100,0.78,0,100
0.79,0,100,0.79,0,100
0.8,0,100,0.8,0,100
0.81,0,100,0.81,0,100
0.82,0,100,0.82,0,100
0.83,0,100,0.83,0,100
0.84,0,100,0.84,0,100
0.85,0,100,0.85,0,100
0.86,0,100,0.86,0,100
0.87,0,100,0.87,0,100
0.88,0,100,0.88,0,100
0.89,0,100,0.89,0,100
0.9,0,100,0.9,0,100
0.91,0,100,0.91,0,100
0.92,0,100,0.92,0,100
0.93,0,100,0.93,0,100
0.94,0,100,0.94,0,100
0.95,0,100,0.95,0,100
0.96,0,100,0.96,0,100
0.97,0,100,0.97,0,100
0.98,0,100,0.98,0,100
0.99,0,100,0.99,0,100
1,0,100,1,0,100
