"x.dashed","y.dashed","x.solid","y.solid"
501,0.4888,501,0.4439
502,0.4949,502,0.442
503,0.4912,503,0.4375
504,0.4974,504,0.4377
505,0.4871,505,0.4542
506,0.5002,506,0.4497
507,0.4935,507,0.4539
508,0.504,508,0.4565
509,0.5157,509,0.453
510,0.5101,510,0.4561
511,0.5102,511,0.4585
512,0.5058,512,0.4604
513,0.5135,513,0.4556
514,0.5134,514,0.4506
515,0.5183,515,0.4577
516,0.5191,516,0.4645
517,0.5145,517,0.4642
518,0.5235,518,0.468
519,0.5292,519,0.4609
520,0.5226,520,0.471
521,0.5268,521,0.4706
522,0.5211,522,0.4746
523,0.5391,523,0.4702
524,0.52,524,0.4663
525,0.5212,525,0.468
526,0.5293,526,0.4821
527,0.545,527,0.4814
528,0.5371,528,0.4784
529,0.541,529,0.4812
530,0.5338,530,0.4871
531,0.5463,531,0.4845
532,0.5433,532,0.4811
533,0.5468,533,0.4963
534,0.5479,534,0.484
535,0.5547,535,0.4915
536,0.5563,536,0.4979
537,0.5563,537,0.4902
538,0.5548,538,0.4975
539,0.5561,539,0.4943
540,0.5569,540,0.4946
541,0.5585,541,0.509
542,0.5603,542,0.4921
543,0.5667,543,0.5026
544,0.5717,544,0.4986
545,0.5679,545,0.506
546,0.5678,546,0.5072
547,0.5673,547,0.5119
548,0.5785,548,0.5075
549,0.5797,549,0.509
550,0.5752,550,0.5171
551,0.5749,551,0.5208
552,0.5834,552,0.5237
553,0.5867,553,0.5146
554,0.5823,554,0.5208
555,0.5881,555,0.5177
556,0.5825,556,0.5307
557,0.5806,557,0.5258
558,0.5886,558,0.5303
559,0.5967,559,0.5344
560,0.5958,560,0.517
561,0.589,561,0.5315
562,0.6021,562,0.5354
563,0.6102,563,0.5306
564,0.5979,564,0.5315
565,0.6028,565,0.5401
566,0.6087,566,0.5384
567,0.6089,567,0.54
568,0.6087,568,0.5391
569,0.6072,569,0.5363
570,0.6106,570,0.5479
571,0.6129,571,0.548
572,0.6161,572,0.5488
573,0.6224,573,0.5531
574,0.6198,574,0.5442
575,0.6232,575,0.5518
576,0.6215,576,0.5452
577,0.6253,577,0.5509
578,0.6317,578,0.5474
579,0.6258,579,0.5513
580,0.6274,580,0.5505
581,0.6316,581,0.5659
582,0.6267,582,0.5632
583,0.6377,583,0.5562
584,0.6386,584,0.5684
585,0.6312,585,0.5649
586,0.6363,586,0.5662
587,0.6395,587,0.5732
588,0.6455,588,0.5651
589,0.6542,589,0.5755
590,0.6484,590,0.5755
591,0.6496,591,0.5758
592,0.647,592,0.5721
593,0.6496,593,0.5769
594,0.6537,594,0.5767
595,0.6575,595,0.5701
596,0.6557,596,0.5774
597,0.6572,597,0.5777
598,0.6552,598,0.5896
599,0.6588,599,0.5842
600,0.6611,600,0.5799
601,0.6672,601,0.5824
602,0.6648,602,0.5934
603,0.6703,603,0.5819
604,0.657,604,0.5838
605,0.6764,605,0.5924
606,0.6714,606,0.5961
607,0.6701,607,0.5888
608,0.6817,608,0.6022
609,0.6783,609,0.597
610,0.6806,610,0.5932
611,0.6765,611,0.6022
612,0.6847,612,0.6057
613,0.6779,613,0.6069
614,0.6916,614,0.6011
615,0.6869,615,0.6032
616,0.6797,616,0.616
617,0.6901,617,0.6104
618,0.6859,618,0.6061
619,0.6996,619,0.6105
620,0.6982,620,0.6222
621,0.6943,621,0.6131
622,0.6945,622,0.6227
623,0.696,623,0.624
624,0.6972,624,0.6134
625,0.7046,625,0.6258
626,0.6982,626,0.6255
627,0.7153,627,0.6342
628,0.702,628,0.6232
629,0.701,629,0.6286
630,0.7041,630,0.6304
631,0.7192,631,0.6348
632,0.7135,632,0.6357
633,0.7158,633,0.6309
634,0.7177,634,0.6366
635,0.7145,635,0.639
636,0.7203,636,0.6371
637,0.7181,637,0.6418
638,0.7246,638,0.644
639,0.7292,639,0.6337
640,0.7239,640,0.6408
641,0.7264,641,0.6463
642,0.7307,642,0.6492
643,0.7287,643,0.6435
644,0.7314,644,0.6441
645,0.7271,645,0.6512
646,0.7267,646,0.6574
647,0.728,647,0.6517
648,0.7349,648,0.6614
649,0.7353,649,0.6527
650,0.7442,650,0.6586
651,0.7391,651,0.6587
652,0.7429,652,0.6595
653,0.739,653,0.6541
654,0.7396,654,0.6595
655,0.7402,655,0.6663
656,0.7451,656,0.6634
657,0.7538,657,0.6649
658,0.7443,658,0.672
659,0.7593,659,0.6774
660,0.7614,660,0.6747
661,0.7614,661,0.6649
662,0.7618,662,0.6785
663,0.7544,663,0.6807
664,0.7551,664,0.6806
665,0.7616,665,0.6795
666,0.7678,666,0.6883
667,0.7623,667,0.681
668,0.7607,668,0.6915
669,0.7713,669,0.6891
670,0.7711,670,0.6869
671,0.7691,671,0.6913
672,0.7673,672,0.6923
673,0.7698,673,0.6876
674,0.773,674,0.6983
675,0.7784,675,0.7033
676,0.7725,676,0.6993
677,0.7767,677,0.6899
678,0.7784,678,0.7069
679,0.7787,679,0.6999
680,0.7806,680,0.6975
681,0.7787,681,0.6992
682,0.7795,682,0.7012
683,0.7845,683,0.708
684,0.7798,684,0.7022
685,0.7815,685,0.7108
686,0.7855,686,0.7118
687,0.7916,687,0.7127
688,0.785,688,0.7077
689,0.7877,689,0.7068
690,0.7947,690,0.7137
691,0.7931,691,0.7187
692,0.7968,692,0.7153
693,0.7952,693,0.7167
694,0.8016,694,0.7111
695,0.7986,695,0.7256
696,0.7956,696,0.7293
697,0.8057,697,0.7302
698,0.8051,698,0.7308
699,0.8057,699,0.7271
700,0.8058,700,0.7335
701,0.795,701,0.7291
702,0.806,702,0.734
703,0.8089,703,0.7336
704,0.803,704,0.7341
705,0.8103,705,0.7341
706,0.8092,706,0.7441
707,0.8144,707,0.7362
708,0.8144,708,0.7378
709,0.8168,709,0.7415
710,0.8197,710,0.7448
711,0.8135,711,0.7462
712,0.8222,712,0.7506
713,0.8199,713,0.7501
714,0.826,714,0.7536
715,0.8195,715,0.753
716,0.8234,716,0.7475
717,0.824,717,0.757
718,0.828,718,0.7614
719,0.8261,719,0.7553
720,0.824,720,0.7544
721,0.83,721,0.7572
722,0.8283,722,0.7597
723,0.8311,723,0.7648
724,0.8331,724,0.7574
725,0.8374,725,0.7699
726,0.8381,726,0.7595
727,0.8246,727,0.7653
728,0.8387,728,0.7812
729,0.838,729,0.7692
730,0.8394,730,0.7717
731,0.8426,731,0.7758
732,0.8366,732,0.7816
733,0.8393,733,0.773
734,0.84,734,0.7788
735,0.8503,735,0.7718
736,0.8461,736,0.7808
737,0.8508,737,0.7816
738,0.8521,738,0.7785
739,0.8495,739,0.779
740,0.852,740,0.7823
741,0.8485,741,0.7883
742,0.8504,742,0.7868
743,0.8501,743,0.7821
744,0.8543,744,0.7893
745,0.8524,745,0.7901
746,0.8606,746,0.7962
747,0.8602,747,0.7963
748,0.8565,748,0.797
749,0.8597,749,0.7957
750,0.86,750,0.7991
751,0.8656,751,0.7959
752,0.8623,752,0.8001
753,0.86,753,0.7971
754,0.8624,754,0.8016
755,0.8662,755,0.797
756,0.8632,756,0.8099
757,0.8621,757,0.8029
758,0.8687,758,0.8027
759,0.869,759,0.8073
760,0.8738,760,0.8143
761,0.8764,761,0.8065
762,0.8688,762,0.8083
763,0.873,763,0.8144
764,0.8743,764,0.8091
765,0.8723,765,0.8089
766,0.8777,766,0.8174
767,0.8775,767,0.8155
768,0.874,768,0.8121
769,0.8786,769,0.8169
770,0.8835,770,0.8176
771,0.877,771,0.8206
772,0.8811,772,0.8201
773,0.879,773,0.8232
